elapsed_s,delta_s,voltage_v
0.208,0.208,3.1530
0.410,0.202,3.1530
0.609,0.199,3.1530
0.807,0.198,3.1540
1.009,0.202,3.1540
1.209,0.200,3.1540
1.409,0.200,3.1530
1.608,0.199,3.1530
1.809,0.201,3.1530
2.009,0.199,3.1530
2.209,0.200,3.1530
2.410,0.201,3.1530
2.610,0.200,3.1530
2.808,0.198,3.1530
3.010,0.202,3.1530
3.210,0.200,3.1530
3.408,0.198,3.1530
3.605,0.197,3.1530
3.806,0.201,3.1520
4.009,0.203,3.1520
4.208,0.199,3.1520
4.409,0.201,3.1530
4.610,0.201,3.1530
4.808,0.198,3.1540
5.005,0.197,3.1540
5.208,0.204,3.1540
5.410,0.202,3.1540
5.610,0.200,3.1540
5.809,0.199,3.1540
6.009,0.200,3.1540
6.208,0.200,3.1540
6.406,0.198,3.1540
6.609,0.202,3.1540
6.810,0.202,3.1540
7.005,0.195,3.1540
7.208,0.203,3.1540
7.410,0.202,3.1550
7.610,0.201,3.1550
7.810,0.199,3.1550
8.008,0.198,3.1550
8.208,0.200,3.1550
8.406,0.198,3.1550
8.604,0.198,3.1550
8.809,0.204,3.1550
9.010,0.201,3.1550
9.210,0.199,3.1550
9.408,0.199,3.1550
9.609,0.200,3.1550
9.809,0.200,3.1550
10.009,0.200,3.1550
